ORDEN,SKU,MARKETING,ACTUALIZACIONES,ACTUALIZADO,VENTAS_ACUMULADAS,PRICE,LANZAMIENTO,CANTIDAD,PRECIO_MIN,SD_PRECIO,VENTA_ALTA
56039,183267,S,7,1,1284175,49.17,2005,69,80.97,14.95,0
70413,50242,S,9,1,1438848,71.95,2003,84,51.03,11.99,0
36255,638022,S,6,1,1769955,157.53,2011,11,103.97,54.01,1
55821,912445,S,8,1,266295,16.98,2011,25,168.44,22.14,0
73850,565756,S,1,0,679646,85.0,2005,39,20.62,52.13,0
51130,775789,S,0,0,1158518,135.0,2004,22,28.65,55.03,0
58677,780335,S,4,1,3488485,79.95,1999,14,43.88,73.98,0
17195,421723,D,3,1,716922,139.4,2007,46,76.19,27.14,1
36200,266881,S,2,1,1529189,44.99,2007,40,13.84,9.88,0
1628,3263125,D,2,1,2738959,0.0,1999,29,0.0,80.36,0
21107,204026,D,3,1,878140,86.99,2008,19,45.99,66.51,0
7745,52357,D,7,1,276297,15.06,2007,114,111.63,8.79,1
44651,878250,S,4,1,1405280,209.75,2012,10,135.63,186.1,0
1016,294137,D,3,1,2785003,74.95,2003,32,5.93,10.94,0
44278,747963,S,6,1,550214,133.5,1997,21,4.74,63.68,0
31408,868322,D,11,1,1150842,114.95,2007,43,53.98,44.21,1
4647,146173,D,4,1,649757,214.2,2010,21,113.09,582.98,0
52770,873494,S,3,1,5429751,81.95,1999,25,36.4,10.97,0
40299,629127,S,3,1,63976,39.0,2012,48,12.24,22.98,0
61000,115236,S,4,1,3203152,78.42,2002,21,57.64,46.87,1
36409,248868,S,2,1,123822,49.95,2005,44,21.13,38.99,1
74740,747933,S,5,1,935873,59.25,1998,111,40.24,38.74,0
78157,544895,S,2,1,509013,45.95,2009,39,30.0,30.06,0
7927,183701,D,2,1,474347,157.95,2006,35,83.5,74.47,0
54993,146937,S,4,1,950821,69.95,2001,29,41.77,53.94,0
45376,127672,S,3,1,303773,49.95,2009,28,20.44,42.46,0
56220,910040,S,0,0,213918,34.0,2002,34,25.95,33.85,0
1108,767600,D,5,1,1149102,92.95,2009,25,79.59,22.59,0
34688,552844,D,4,1,2508448,58.0,2006,25,39.24,14.73,0
34672,56494,D,10,1,446250,129.2,2010,97,124.97,33.94,0
48108,298476,S,3,1,129895,247.95,2006,62,21.11,78.98,0
18656,566832,D,1,0,1263817,19.03,2006,62,38.99,26.03,0
64529,531352,S,6,1,86556,112.0,2012,38,26.93,58.99,0
48900,195105,S,2,1,1347713,49.0,2006,58,15.99,13.84,0
16427,202277,D,1,0,896884,135.95,2000,48,109.39,18.28,0
7686,53836,D,3,1,1491346,87.95,2004,110,49.68,7.98,0
62229,1696729,S,2,1,194765,48.95,2014,16,0.0,33.41,0
16816,177853,D,4,1,869249,103.95,2004,36,43.05,70.82,0
27641,212605,D,1,0,381290,53.8,2006,37,50.15,15.43,1
77204,609703,S,3,1,1501819,49.0,2001,24,54.41,10.42,0
56494,624329,S,5,1,489589,49.95,2010,44,23.96,18.94,0
27032,614440,D,1,0,907262,64.99,2006,56,22.53,8.81,1
23860,1959200,D,4,1,4312192,92.95,2011,11,93.29,79.86,0
64112,161646,S,2,1,826410,32.5,2007,26,14.72,15.1,0
2539,2408522,D,0,0,4413906,73.25,2002,14,42.89,75.97,0
72210,169140,S,5,1,141806,220.95,2006,38,39.34,93.47,1
21760,866731,D,10,1,82630,96.85,2014,43,121.46,53.05,1
25834,367154,D,5,1,692298,58.99,2010,44,0.0,0.0,0
3606,776323,D,0,0,5534060,69.0,2010,13,161.11,23.99,0
4795,742544,D,4,1,835740,0.0,2010,42,122.52,59.22,1
57903,199198,S,3,1,394437,156.0,2005,35,111.62,147.03,0
20494,223049,D,4,1,1456355,316.95,1998,64,81.7,39.98,0
69579,861417,S,6,1,114689,79.25,2013,50,47.43,66.81,0
17401,366225,D,0,0,373876,65.0,2006,35,28.88,28.99,0
65115,250179,S,2,1,4568868,70.95,2007,19,13.57,45.29,0
9908,292901,D,8,1,2430844,54.88,1997,25,9.96,14.28,1
54452,248185,S,4,1,315103,85.0,2011,41,57.89,54.79,0
24654,193639,D,2,1,934765,142.0,2008,28,52.99,86.98,0
17415,774702,D,1,0,2269683,94.95,1998,12,90.88,64.25,0
11871,58081,D,2,1,246822,133.4,2009,119,68.98,8.79,0
14813,390352,D,3,1,73770,63.7,2002,191,27.0,18.24,0
59168,54988,S,6,1,1257469,44.4,2006,67,0.0,13.69,0
41452,146321,S,8,1,1074386,132.67,2009,14,121.58,378.93,0
76976,890889,S,3,1,89388,49.99,2014,19,28.13,28.94,0
4553,53568,D,9,1,7381,39.99,2011,189,156.69,21.86,1
10843,3595323,D,3,1,3951681,52.0,2004,13,0.0,0.0,0
84062,607465,S,3,1,1107721,130.0,2008,27,86.09,51.99,0
9017,118762,D,12,1,1550957,83.8,2007,49,48.89,22.16,0
42265,2393313,S,4,1,703382,201.8,1998,30,3.99,42.35,0
9435,248826,D,3,1,2420712,82.95,2006,12,85.16,28.26,0
71656,878092,S,7,1,5480034,150.52,2011,32,101.32,98.8,0
35230,109819,D,7,1,378391,96.25,2006,33,50.56,51.45,0
80167,561181,S,5,1,1227274,60.8,2009,46,26.25,16.24,0
