seller_id,total_visits,day,total_in_day
540797376,54212,2020-08-18,2267
540797376,54212,2020-08-19,2127
540797376,54212,2020-08-20,1829
540797376,54212,2020-08-21,977
540797376,54212,2020-08-22,795
540797376,54212,2020-08-23,840
540797376,54212,2020-08-24,1643
540797376,54212,2020-08-25,1856
540797376,54212,2020-08-26,1050
540797376,54212,2020-08-27,943
540797376,54212,2020-08-28,1102
540797376,54212,2020-08-29,870
3681986,40614,2020-07-31,759
3681986,40614,2020-08-01,2056
3681986,40614,2020-08-02,1593
3681986,40614,2020-08-03,1170
3681986,40614,2020-08-04,1347
3681986,40614,2020-08-05,1664
3681986,40614,2020-08-06,1580
3681986,40614,2020-08-07,863
3681986,40614,2020-08-08,806
3681986,40614,2020-08-09,856
3681986,40614,2020-08-10,1286
3681986,40614,2020-08-11,956
3681986,40614,2020-08-12,640
3681986,40614,2020-08-13,2865
3681986,40614,2020-08-14,687
3681986,40614,2020-08-15,1766
3681986,40614,2020-08-16,475
3681986,40614,2020-08-17,408
3681986,40614,2020-08-18,2114
3681986,40614,2020-08-19,1899
3681986,40614,2020-08-20,3176
3681986,40614,2020-08-21,1225
3681986,40614,2020-08-22,848
3681986,40614,2020-08-23,755
3681986,40614,2020-08-24,2310
3681986,40614,2020-08-25,3028
3681986,40614,2020-08-26,1482
3681986,40614,2020-08-27,1078
3681986,40614,2020-08-28,471
3681986,40614,2020-08-29,451
9316603,81479,2020-07-31,2157
9316603,81479,2020-08-01,1361
9316603,81479,2020-08-02,1403
9316603,81479,2020-08-03,2587
9316603,81479,2020-08-04,2732
9316603,81479,2020-08-05,2275
9316603,81479,2020-08-06,2896
9316603,81479,2020-08-07,3428
9316603,81479,2020-08-08,3318
9316603,81479,2020-08-09,3627
9316603,81479,2020-08-10,4103
9316603,81479,2020-08-11,5259
9316603,81479,2020-08-12,4809
9316603,81479,2020-08-13,2782
9316603,81479,2020-08-14,3622
9316603,81479,2020-08-15,3000
9316603,81479,2020-08-16,2695
9316603,81479,2020-08-17,2990
9316603,81479,2020-08-18,3231
9316603,81479,2020-08-19,3056
9316603,81479,2020-08-20,3235
9316603,81479,2020-08-21,2277
9316603,81479,2020-08-22,2171
9316603,81479,2020-08-23,1449
9316603,81479,2020-08-24,2259
9316603,81479,2020-08-25,3005
9316603,81479,2020-08-26,1543
9316603,81479,2020-08-27,1554
9316603,81479,2020-08-28,1445
9316603,81479,2020-08-29,1210
190176168,10133,2020-07-31,506
190176168,10133,2020-08-01,360
190176168,10133,2020-08-02,386
190176168,10133,2020-08-03,375
190176168,10133,2020-08-04,366
190176168,10133,2020-08-05,296
190176168,10133,2020-08-06,340
190176168,10133,2020-08-07,288
190176168,10133,2020-08-08,357
190176168,10133,2020-08-09,306
190176168,10133,2020-08-10,273
190176168,10133,2020-08-11,437
190176168,10133,2020-08-12,447
190176168,10133,2020-08-13,451
190176168,10133,2020-08-14,393
190176168,10133,2020-08-15,378
190176168,10133,2020-08-16,423
190176168,10133,2020-08-17,346
190176168,10133,2020-08-18,405
190176168,10133,2020-08-19,381
190176168,10133,2020-08-20,325
190176168,10133,2020-08-21,263
190176168,10133,2020-08-22,302
190176168,10133,2020-08-23,225
190176168,10133,2020-08-24,328
190176168,10133,2020-08-25,387
190176168,10133,2020-08-26,209
190176168,10133,2020-08-27,169
190176168,10133,2020-08-28,211
190176168,10133,2020-08-29,200
48785230,27875,2020-07-31,462
48785230,27875,2020-08-01,422
48785230,27875,2020-08-02,732
48785230,27875,2020-08-03,990
48785230,27875,2020-08-04,932
48785230,27875,2020-08-05,914
48785230,27875,2020-08-06,968
48785230,27875,2020-08-07,1112
48785230,27875,2020-08-08,1168
48785230,27875,2020-08-09,1290
48785230,27875,2020-08-10,1748
48785230,27875,2020-08-11,2164
48785230,27875,2020-08-12,1886
48785230,27875,2020-08-13,1827
48785230,27875,2020-08-14,1500
48785230,27875,2020-08-15,1279
48785230,27875,2020-08-16,846
48785230,27875,2020-08-17,787
48785230,27875,2020-08-18,729
48785230,27875,2020-08-19,617
48785230,27875,2020-08-20,685
48785230,27875,2020-08-21,409
48785230,27875,2020-08-22,339
48785230,27875,2020-08-23,488
48785230,27875,2020-08-24,923
48785230,27875,2020-08-25,882
48785230,27875,2020-08-26,535
48785230,27875,2020-08-27,465
48785230,27875,2020-08-28,360
48785230,27875,2020-08-29,416
340109223,181599,2020-07-31,7127
340109223,181599,2020-08-01,7258
340109223,181599,2020-08-02,7789
340109223,181599,2020-08-03,6599
340109223,181599,2020-08-04,6736
340109223,181599,2020-08-05,5506
340109223,181599,2020-08-06,6392
340109223,181599,2020-08-07,7135
340109223,181599,2020-08-08,7210
340109223,181599,2020-08-09,6945
340109223,181599,2020-08-10,7701
340109223,181599,2020-08-11,8588
340109223,181599,2020-08-12,8577
340109223,181599,2020-08-13,7876
340109223,181599,2020-08-14,9861
340109223,181599,2020-08-15,7855
340109223,181599,2020-08-16,7137
340109223,181599,2020-08-17,5969
340109223,181599,2020-08-18,6085
340109223,181599,2020-08-19,5644
340109223,181599,2020-08-20,4997
340109223,181599,2020-08-21,4751
340109223,181599,2020-08-22,4452
340109223,181599,2020-08-23,4078
340109223,181599,2020-08-24,5003
340109223,181599,2020-08-25,4410
340109223,181599,2020-08-26,2627
340109223,181599,2020-08-27,2461
340109223,181599,2020-08-28,2434
340109223,181599,2020-08-29,2396
9137597,189503,2020-07-31,6429
9137597,189503,2020-08-01,5832
9137597,189503,2020-08-02,5074
9137597,189503,2020-08-03,5747
9137597,189503,2020-08-04,5552
9137597,189503,2020-08-05,8928
9137597,189503,2020-08-06,7877
9137597,189503,2020-08-07,5198
9137597,189503,2020-08-08,4411
9137597,189503,2020-08-09,4800
9137597,189503,2020-08-10,7259
9137597,189503,2020-08-11,8996
9137597,189503,2020-08-12,10169
9137597,189503,2020-08-13,9833
9137597,189503,2020-08-14,8659
9137597,189503,2020-08-15,6378
9137597,189503,2020-08-16,5945
9137597,189503,2020-08-17,7188
9137597,189503,2020-08-18,7229
9137597,189503,2020-08-19,9535
9137597,189503,2020-08-20,9776
9137597,189503,2020-08-21,6098
9137597,189503,2020-08-22,3927
9137597,189503,2020-08-23,2968
9137597,189503,2020-08-24,6460
9137597,189503,2020-08-25,5076
9137597,189503,2020-08-26,3155
9137597,189503,2020-08-27,3894
9137597,189503,2020-08-28,3753
9137597,189503,2020-08-29,3357
352339997,107489,2020-07-31,3038
352339997,107489,2020-08-01,2615
352339997,107489,2020-08-02,4541
352339997,107489,2020-08-03,5371
352339997,107489,2020-08-04,5208
352339997,107489,2020-08-05,4772
352339997,107489,2020-08-06,5091
352339997,107489,2020-08-07,2420
352339997,107489,2020-08-08,3868
352339997,107489,2020-08-09,4474
352339997,107489,2020-08-10,4317
352339997,107489,2020-08-11,4267
352339997,107489,2020-08-12,4837
352339997,107489,2020-08-13,5093
352339997,107489,2020-08-14,4971
352339997,107489,2020-08-15,4316
352339997,107489,2020-08-16,2780
352339997,107489,2020-08-17,4233
352339997,107489,2020-08-18,4136
352339997,107489,2020-08-19,3185
352339997,107489,2020-08-20,3057
352339997,107489,2020-08-21,2519
352339997,107489,2020-08-22,2215
352339997,107489,2020-08-23,2569
352339997,107489,2020-08-24,3343
352339997,107489,2020-08-25,3993
352339997,107489,2020-08-26,1841
352339997,107489,2020-08-27,1727
352339997,107489,2020-08-28,1518
352339997,107489,2020-08-29,1174
625563456,44,2020-07-31,0
625563456,44,2020-08-01,0
625563456,44,2020-08-02,0
625563456,44,2020-08-03,0
625563456,44,2020-08-04,0
625563456,44,2020-08-05,0
625563456,44,2020-08-06,0
625563456,44,2020-08-07,0
625563456,44,2020-08-08,0
625563456,44,2020-08-09,0
625563456,44,2020-08-10,0
625563456,44,2020-08-11,0
625563456,44,2020-08-12,0
625563456,44,2020-08-13,0
625563456,44,2020-08-14,0
625563456,44,2020-08-15,0
625563456,44,2020-08-16,0
625563456,44,2020-08-17,0
625563456,44,2020-08-18,0
625563456,44,2020-08-19,0
625563456,44,2020-08-20,0
625563456,44,2020-08-21,7
625563456,44,2020-08-22,0
625563456,44,2020-08-23,7
625563456,44,2020-08-24,6
